date,date_julian,chemical_longname,chemical_shortname,time_local,Q,u_ref,h,stability,plume_model,reflection,deposition,terrain,p,Ta,Ts,ds,cp,Pa,Ps,x_grid,y_grid,z_grid,velocity,eta,mw,u_dir,time_utc,delta_t,
08/11/2014,4223,Difluoroethane (R152 A),R-152a,12:48:00 PM,85,2.73,7.32,B,,,,rural,0.07,28.3,27.3,0.19,1.14,1010,5377.91,,,,0.00299792543559857,,66.05,316,6:48,1,6:00
08/11/2014,4223,Difluoroethane (R152 A),R-152a,12:50:00 PM,119,2.97,7.32,B,,,,rural,0.07,28.3,27.3,0.19,1.14,1010,5377.91,,,,0.00419709560983799,,66.05,312,6:50,1,
08/11/2014,4223,Difluoroethane (R152 A),R-152a,12:57:00 PM,442,1.41,7.32,A,,,,rural,0.07,28.8,27.8,0.19,1.14,1010,5377.91,,,,0.0155892122651125,,66.05,134,6:57,1,
08/11/2014,4223,Difluoroethane (R152 A),R-152a,1:30:00 PM,119,3.43,7.32,B,,,,rural,0.07,29.8,28.8,0.19,1.14,1010,5653.70,,,,0.00419709560983799,,66.05,44,7:30,1,
08/11/2014,4223,Difluoroethane (R152 A),R-152a,1:35:00 PM,85,2.4,7.32,B,,,,rural,0.07,29.7,28.7,0.19,1.14,1010,5653.70,,,,0.00299792543559857,,66.05,75,7:35,1,
08/11/2014,4223,Difluoroethane (R152 A),R-152a,1:36:00 PM,408,1.31,7.32,A,,,,rural,0.07,29.7,28.7,0.19,1.14,1010,5791.60,,,,0.0143900420908731,,66.05,71,7:36,1,
08/11/2014,4223,Difluoroethane (R152 A),R-152a,1:40:00 PM,425,2.46,7.32,B,,,,rural,0.07,30.1,29.1,0.19,1.14,1010,5791.60,,,,0.0149896271779928,,66.05,265,7:40,1,
08/11/2014,4223,Difluoroethane (R152 A),R-152a,2:07:00 PM,85,2.55,7.32,B,,,,rural,0.07,30,29,0.19,1.14,1010,6205.28,,,,0.00299792543559857,,66.05,0,8:07,1,
08/11/2014,4223,Difluoroethane (R152 A),R-152a,2:12:00 PM,391,2.86,7.32,B,,,,rural,0.07,30.1,29.1,0.19,1.14,1010,6067.39,,,,0.0137904570037534,,66.05,134,8:12,1,
08/11/2014,4223,Methane,CH4,4:13:00 PM,1751,2.81,7.32,B,,,,rural,0.07,31.4,30.4,0.19,2.22,1010,7997.92,,,,0.0617572639733305,,16.04,0,10:13,1,
08/11/2014,4223,Methane,CH4,4:37:00 PM,969,3.24,7.32,B,,,,rural,0.07,31.6,30.6,0.19,2.22,1010,7997.92,,,,0.0341763499658237,,16.04,0,10:37,1,
08/11/2014,4223,Methane,CH4,4:45:00 PM,1785,2.24,7.32,B,,,,rural,0.07,31.2,30.2,0.19,2.22,1010,7997.92,,,,0.0629564341475699,,16.04,0,10:45,1,
08/12/2014,4224,Propane,C3H8,3:52:44 PM,2.837,6.940,0.38,C,,,,rural,0.07,32.6,31.6,0.019,1.67,1010,,,,,0.0100055917750475,,44.1,102,9:52,141.000,
08/12/2014,4224,Methane,CH4,4:03:44 PM,44.444,5.440,1.32,C,,,,rural,0.07,32.5,31.5,0.013,2.22,1010,,,,,0.334841963801239,,16.04,79,10:03,36.000,
08/12/2014,4224,Methane,CH4,4:08:55 PM,52.174,5.300,1.32,C,,,,rural,0.07,32.5,31.5,0.013,2.22,1010,,,,,0.393075348810157,,16.04,82,10:08,23.000,
08/13/2014,4225,Ammoniac,NH3,3:14:12 PM,5.26,5.50,1.32,C,,,,rural,0.07,33.4,32.4,0.013,2.19,1010,1378.95,,,,0.0396523378185713,,17.03,87,9:14,19.00,
08/13/2014,4225,Ammoniac,NH3,3:17:15 PM,0.00,4.90,1.32,B,,,,rural,0.07,33.5,32.5,0.013,2.19,1010,1378.95,,,,0,,17.03,91,9:17,23.00,
08/13/2014,4225,Ammoniac,NH3,3:32:06 PM,8.62,4.20,1.32,B,,,,rural,0.07,33.3,32.3,0.013,2.19,1010,12065.83,,,,0.0649477947028267,,17.03,97,9:32,58.00,
08/13/2014,4225,Ammoniac,NH3,3:37:06 PM,8.62,2.26,1.32,B,,,,rural,0.07,33.3,32.3,0.013,2.19,1010,12065.83,,,,0.0649477947028267,,17.03,260,9:37,58.00,
