id,species,date,start,stop,flow,mass,pressure,comment
1,R-152a,2014-08-11,18:48:00,18:49:00,5,,78,"no value for stop time, 1min considered"
2,R-152a,2014-08-11,18:50:00,18:51:00,7,,78,"no value for stop time, 1min considered"
3,R-152a,2014-08-11,18:57:00,18:59:00,26,,78,
4,R-152a,2014-08-11,19:30:00,19:31:00,7,,82,
5,R-152a,2014-08-11,19:35:00,19:36:00,5,,82,
6,R-152a,2014-08-11,19:36:00,19:37:00,24,,84,
7,R-152a,2014-08-11,19:40:00,19:41:00,25,,84,
8,R-152a,2014-08-11,20:07:00,20:08:00,5,,90,
9,R-152a,2014-08-11,20:12:00,20:13:00,23,,88,
10,CH4,2014-08-11,22:13:00,22:14:00,103,,116,"begin == end for time, 1min considered"
11,CH4,2014-08-11,22:37:00,22:38:00,57,,116,"begin == end for time, 1min considered"
12,CH4,2014-08-11,22:45:00,22:46:00,105,,116,"begin == end for time, 1min considered"
13,C3H8,2014-08-12,21:20:53,21:21:13,,,,begin == end for mass
14,CH4,2014-08-12,21:25:55,21:26:11,,,,begin == end for mass
15,C3H8,2014-08-12,21:52:44,21:55:05,,0.4,,
16,CH4,2014-08-12,22:03:44,22:04:44,,1.6,,"no seconds for stop time, 1min considered"
17,CH4,2014-08-12,22:08:55,22:09:18,,1.2,,
18,NH3,2014-08-13,21:14:12,21:14:31,,0.1,20,
19,NH3,2014-08-13,21:17:15,21:17:38,,,20,begin == end for mass
20,NH3,2014-08-13,21:32:06,21:33:04,,0.5,170,
21,NH3,2014-08-13,21:37:06,21:33:04,,,170,"start time after stop time, seems to be a duplicate"
22,NH3,2014-08-13,21:40:04,21:40:25,,0.1,160,
23,NH3,2014-08-13,21:49:58,21:50:21,,0.2,150,
24,NH3,2014-08-13,21:54:19,21:54:57,,0.3,145,
25,CH4,2014-08-13,22:23:40,22:24:08,10,,23,
26,CH4,2014-08-13,22:31:21,22:32:01,35,,22,
27,CH4,2014-08-13,22:35:13,22:36:50,6,,23,
28,SF6,2014-08-14,21:05:00,21:05:44,5,,20,
29,C2H4,2014-08-14,21:05:00,21:05:44,7,,120,
30,SF6,2014-08-14,21:16:06,21:16:34,5,,20,
31,C2H4,2014-08-14,21:16:06,21:16:34,25,,120,
32,SF6,2014-08-14,21:25:43,21:26:50,25,,20,
33,C2H4,2014-08-14,21:25:43,21:26:50,25,,120,
34,SF6,2014-08-14,21:37:26,21:38:26,25,,20,"no value for stop time, 1min considered"
35,C2H4,2014-08-14,21:37:26,21:38:26,5,,120,"no value for stop time, 1min considered"
36,SF6,2014-08-14,,,50,,20,no values for time
37,C2H4,2014-08-14,,,50,,120,no values for time
38,C2H4,2014-08-16,16:45:10,16:48:20,5,,18,
39,SF6,2014-08-16,16:45:10,16:48:20,5,,120,
40,C2H4,2014-08-16,16:56:45,16:59:55,25,,18,
41,SF6,2014-08-16,16:56:45,16:59:55,25,,120,
42,C2H4,2014-08-16,17:01:15,17:02:47,30,,18,
43,SF6,2014-08-16,17:01:15,17:02:47,50,,120,
44,C2H4,2014-08-16,17:08:02,17:13:48,25,,18,
45,SF6,2014-08-16,17:08:02,17:13:48,5,,120,
46,C2H4,2014-08-16,17:21:03,17:25:56,5,,18,
47,SF6,2014-08-16,17:21:03,17:25:56,25,,120,
48,SF6,2014-08-16,17:29:15,17:34:25,5,,120,
49,C2H4,2014-08-16,17:36:35,17:45:01,5,,18,
50,SF6,2014-08-16,17:47:26,17:49:07,1,,120,
51,C2H4,2014-08-16,17:47:26,17:49:07,1,,18,
52,SF6,2014-08-16,17:50:37,17:53:27,25,,120,
53,C2H4,2014-08-16,17:50:37,17:53:27,1,,18,
54,SF6,2014-08-16,18:01:45,18:06:30,25,,120,
55,C2H4,2014-08-16,18:01:45,18:06:30,1,,18,
56,SF6,2014-08-16,18:18:42,18:20:14,10,,120,
57,C2H4,2014-08-16,18:18:42,18:20:14,1,,18,
58,SF6,2014-08-16,18:22:14,18:23:10,50,,120,
59,C2H4,2014-08-16,18:22:14,18:23:10,1,,18,
60,SF6,2014-08-16,,,1,,120,no values for time
61,C2H4,2014-08-16,,,10,,18,no values for time
62,SF6,2014-08-16,,,1,,120,no values for time
63,C2H4,2014-08-16,,,50,,18,no values for time
64,SF6,2014-08-18,18:32:00,18:33:00,1,,46,"no value for start time, 1min considered"
65,SF6,2014-08-18,18:34:24,18:35:58,1,,46,
66,SF6,2014-08-18,18:37:41,18:38:56,5,,46,
67,SF6,2014-08-18,18:40:51,18:42:14,25,,46,
68,C2H4,2014-08-18,18:32:00,18:33:00,1,,77,"no value for start time, 1min considered"
69,C2H4,2014-08-18,18:34:24,18:35:58,1,,77,
70,C2H4,2014-08-18,18:37:41,18:38:56,5,,77,
71,C2H4,2014-08-18,18:40:51,18:42:14,25,,77,
72,CF-4,2014-08-18,18:50:42,18:52:08,1,,80,
73,CF-4,2014-08-18,18:52:49,18:53:50,5,,80,
74,CF-4,2014-08-18,19:02:15,19:02:54,5,,80,
75,CF-4,2014-08-18,19:06:50,19:08:04,1,,80,
76,CF-4,2014-08-18,19:12:45,19:13:23,1,,80,
77,CF-4,2014-08-18,19:14:40,19:15:40,5,,80,"no value for stop time, 1min considered"
78,CF-4,2014-08-18,19:17:02,19:18:02,5,,80,"no value for start time, 1min considered"
79,CF-4,2014-08-18,19:19:50,19:21:05,1,,80,
80,CF-4,2014-08-18,19:24,19:25:27,5,,80,
81,CF-4,2014-08-18,19:28:54,19:30:18,25,,80,
82,CF-4,2014-08-18,19:44:30,19:45:54,1,,80,
83,C3F8,2014-08-18,18:50:42,18:52:08,1,,100,
84,C3F8,2014-08-18,18:52:49,18:53:50,5,,100,
85,C3F8,2014-08-18,19:02:15,19:02:54,5,,100,
86,C3F8,2014-08-18,19:06:50,19:08:04,1,,100,
87,C3F8,2014-08-18,19:12:45,19:13:23,5,,100,
88,C3F8,2014-08-18,19:14:40,19:15:40,5,,100,
89,C3F8,2014-08-18,19:17:02,19:18:02,5,,100,
90,C3F8,2014-08-18,19:19:50,19:21:05,20,,100,
91,C3F8,2014-08-18,19:24,19:25:27,1,,100,
92,C3F8,2014-08-18,19:28:54,19:30:18,1,,100,
93,C3F8,2014-08-18,19:44:30,19:45:54,1,,100,
94,NH3,2014-08-18,19:49:20,19:50:20,1,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
95,NH3,2014-08-18,19:49:40,19:50:40,1,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
96,NH3,2014-08-18,19:53:37,19:54:37,5,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
97,NH3,2014-08-18,19:54:23,19:55:23,5,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
98,NH3,2014-08-18,19:59:40,20:00:40,10,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
99,NH3,2014-08-18,19:59:33,20:00:33,10,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
100,NH3,2014-08-18,20:04:30,20:05:47,20,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
101,NH3,2014-08-18,20:31:58,20:32:58,1,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
102,NH3,2014-08-18,20:34:29,20:35:29,1,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
103,NH3,2014-08-18,20:36:57,20:37:57,5,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
104,NH3,2014-08-18,20:40:20,20:41:20,5,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
105,C2H4,2014-08-18,20:31:58,20:32:58,1,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
106,C2H4,2014-08-18,20:34:29,20:35:29,1,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
107,C2H4,2014-08-18,20:36:57,20:37:57,5,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
108,C2H4,2014-08-18,20:40:20,20:41:20,5,,50,"start/stop missing, 1min considered + no pressure, 50 psi considered"
109,NH3,2014-08-18,22:51:30,22:52:40,25,,50,"no pressure, 50 psi considered"
110,NH3,2014-08-18,22:55:14,22:56:19,5,,50,"no pressure, 50 psi considered"
111,NH3,2014-08-18,22:58:40,22:59:29,1,,50,"no pressure, 50 psi considered"
112,NH3,2014-08-18,23:02:20,23:03:03,5,,50,"no pressure, 50 psi considered"
113,NH3,2014-08-18,23:22:50,23:24:29,1,,50,"no pressure, 50 psi considered"
114,NH3,2014-08-18,23:26:45,23:28:40,5,,50,"no pressure, 50 psi considered"
115,NH3,2014-08-18,23:30:22,23:51:21,5,,50,"no pressure, 50 psi considered"
116,NH3,2014-08-18,23:34:25,23:35:01,25,,50,"no pressure, 50 psi considered"
117,NH3,2014-08-18,23:49:40,23:51:40,1,,50,"no pressure, 50 psi considered"
118,NH3,2014-08-18,23:52:35,23:54:11,5,,50,"no pressure, 50 psi considered"
119,NH3,2014-08-18,23:55:22,23:55:57,25,,50,"no pressure, 50 psi considered"
120,NH3,2014-08-18,23:57:00,23:58:00,,,50,"no pressure, 50 psi considered"
121,C2H4,2014-08-18,22:51:30,22:52:40,25,,46,"no pressure, 46 psi considered"
122,C2H4,2014-08-18,22:55:14,22:56:19,5,,46,"no pressure, 46 psi considered"
123,C2H4,2014-08-18,22:58:40,22:59:29,1,,46,"no pressure, 46 psi considered"
124,C2H4,2014-08-18,23:02:20,23:03:03,1,,46,"no pressure, 46 psi considered"
125,C2H4,2014-08-18,23:22:50,23:24:29,5,,46,"no pressure, 46 psi considered"
126,C2H4,2014-08-18,23:26:45,23:28:40,5,,46,"no pressure, 46 psi considered"
127,C2H4,2014-08-18,23:30:22,23:51:21,1,,46,"no pressure, 46 psi considered"
128,C2H4,2014-08-18,23:34:25,23:35:01,25,,46,"no pressure, 46 psi considered"
129,C2H4,2014-08-18,23:49:40,23:51:40,1,,46,"no pressure, 46 psi considered"
130,C2H4,2014-08-18,23:52:35,23:54:11,5,,46,"no pressure, 46 psi considered"
131,C2H4,2014-08-18,23:55:22,23:55:57,25,,46,"no pressure, 46 psi considered"
132,C2H4,2014-08-18,23:57:00,23:58:00,0,,46,"no pressure, 46 psi considered"
133,NH3,2014-08-19,03:00:25,03:01:18,1,,50,
134,NH3,2014-08-19,03:05:55,03:07:28,5,,50,
135,NH3,2014-08-19,03:10:25,03:11:13,25,,50,
136,NH3,2014-08-19,03:16:01,03:17:19,5,,50,
137,NH3,2014-08-19,03:17:24,03:18:07,5,,50,
138,NH3,2014-08-19,03:29:58,03:30:05,1,,50,volume uncertain
139,NH3,2014-08-19,03:36:09,03:36:42,5,,50,
140,NH3,2014-08-19,03:38:26,03:39:33,5,,50,
141,NH3,2014-08-19,03:44:13,03:45:05,1,,50,
142,NH3,2014-08-19,03:49:00,03:50:45,1,,50,
143,NH3,2014-08-19,03:55:05,03:56:22,5,,50,
144,C2H4,2014-08-19,03:00:25,03:01:18,1,,46,
145,C2H4,2014-08-19,03:05:55,03:07:28,5,,46,
146,C2H4,2014-08-19,03:10:25,03:11:13,25,,46,
147,C2H4,2014-08-19,03:16:01,03:17:19,1,,46,
148,C2H4,2014-08-19,03:17:24,03:18:07,1,,46,
149,C2H4,2014-08-19,03:29:58,03:30:05,1,,46,
150,C2H4,2014-08-19,03:36:09,03:36:42,5,,46,
151,C2H4,2014-08-19,03:38:26,03:39:33,5,,46,
152,C2H4,2014-08-19,03:44:13,03:45:05,1,,46,
153,C2H4,2014-08-19,03:49:00,03:50:45,5,,46,
154,C2H4,2014-08-19,03:55:05,03:56:22,1,,46,
155,CF-4,2014-08-19,04:01:00,04:01:31,5,,78,
156,CF-4,2014-08-19,04:06:10,04:07:04,25,,78,
157,CF-4,2014-08-19,04:12:15,04:12:57,5,,78,
158,CF-4,2014-08-19,04:17:00,04:17:58,5,,78,
159,CF-4,2014-08-19,04:17:58,04:19:15,5,,78,
160,CF-4,2014-08-19,04:22:00,04:23:28,5,,78,
161,CF-4,2014-08-19,04:28:30,04:29:09,25,,78,
162,CF-4,2014-08-19,04:34:00,04:35:05,25,,78,
163,CF-4,2014-08-19,04:46:30,04:48:10,25,,78,
164,C3F8,2014-08-19,04:01:00,04:01:31,5,,46,
165,C3F8,2014-08-19,04:06:10,04:07:04,5,,46,
166,C3F8,2014-08-19,04:12:15,04:12:57,25,,46,
167,C3F8,2014-08-19,04:17:00,04:17:58,25,,46,
168,C3F8,2014-08-19,04:17:58,04:19:15,25,,46,
169,C3F8,2014-08-19,04:22:00,04:23:28,5,,46,
170,C3F8,2014-08-19,04:28:30,04:29:09,5,,46,
171,C3F8,2014-08-19,04:34:00,04:35:05,25,,46,
172,C3F8,2014-08-19,04:46:30,04:48:10,25,,46,
173,CH4,2014-08-19,16:39:26,16:40:30,,2,,
174,C2H4,2014-08-19,16:49:50,16:50:30,,5.1,,
