id,date,start_local,end_local,start_utc,end_utc,date_julian,chemical_longname,chemical_shortname,time_local,Q,mass,u_ref,h,stability,plume_model,reflection,deposition,terrain,p,Ta,Ts,ds,cp,Pa,Ps,x_grid,y_grid,z_grid,velocity,eta,mw,u_dir,time_utc,delta_t
1,08/11/2014,2014-08-11T12:48:00.0,2014-08-11T12:48:01.0,2014-08-11T18:48:00.0,2014-08-11T18:48:01.0,4223,Difluoroethane (R152 A),R-152a,12:48:00 PM,85.0,85.0,2.73,7.32,B,,,,rural,0.07,28.3,27.3,0.19,1.14,1010,5377.91,,,,0.00299792543559857,,66.05,316,06:48:00.0,1
2,08/11/2014,2014-08-11T12:50:00.0,2014-08-11T12:50:01.0,2014-08-11T18:50:00.0,2014-08-11T18:50:01.0,4223,Difluoroethane (R152 A),R-152a,12:50:00 PM,119.0,119.0,2.97,7.32,B,,,,rural,0.07,28.3,27.3,0.19,1.14,1010,5377.91,,,,0.00419709560983799,,66.05,312,06:50:00.0,1
3,08/11/2014,2014-08-11T12:57:00.0,2014-08-11T12:57:01.0,2014-08-11T18:57:00.0,2014-08-11T18:57:01.0,4223,Difluoroethane (R152 A),R-152a,12:57:00 PM,442.0,442.0,1.41,7.32,A,,,,rural,0.07,28.8,27.8,0.19,1.14,1010,5377.91,,,,0.0155892122651125,,66.05,134,06:57:00.0,1
4,08/11/2014,2014-08-11T13:30:00.0,2014-08-11T13:30:01.0,2014-08-11T19:30:00.0,2014-08-11T19:30:01.0,4223,Difluoroethane (R152 A),R-152a,1:30:00 PM,119.0,119.0,3.43,7.32,B,,,,rural,0.07,29.8,28.8,0.19,1.14,1010,5653.7,,,,0.00419709560983799,,66.05,44,07:30:00.0,1
5,08/11/2014,2014-08-11T13:35:00.0,2014-08-11T13:35:01.0,2014-08-11T19:35:00.0,2014-08-11T19:35:01.0,4223,Difluoroethane (R152 A),R-152a,1:35:00 PM,85.0,85.0,2.4,7.32,B,,,,rural,0.07,29.7,28.7,0.19,1.14,1010,5653.7,,,,0.00299792543559857,,66.05,75,07:35:00.0,1
6,08/11/2014,2014-08-11T13:36:00.0,2014-08-11T13:36:01.0,2014-08-11T19:36:00.0,2014-08-11T19:36:01.0,4223,Difluoroethane (R152 A),R-152a,1:36:00 PM,408.0,408.0,1.31,7.32,A,,,,rural,0.07,29.7,28.7,0.19,1.14,1010,5791.6,,,,0.0143900420908731,,66.05,71,07:36:00.0,1
7,08/11/2014,2014-08-11T13:40:00.0,2014-08-11T13:40:01.0,2014-08-11T19:40:00.0,2014-08-11T19:40:01.0,4223,Difluoroethane (R152 A),R-152a,1:40:00 PM,425.0,425.0,2.46,7.32,B,,,,rural,0.07,30.1,29.1,0.19,1.14,1010,5791.6,,,,0.0149896271779928,,66.05,265,07:40:00.0,1
8,08/11/2014,2014-08-11T14:07:00.0,2014-08-11T14:07:01.0,2014-08-11T20:07:00.0,2014-08-11T20:07:01.0,4223,Difluoroethane (R152 A),R-152a,2:07:00 PM,85.0,85.0,2.55,7.32,B,,,,rural,0.07,30.0,29.0,0.19,1.14,1010,6205.28,,,,0.00299792543559857,,66.05,0,08:07:00.0,1
9,08/11/2014,2014-08-11T14:12:00.0,2014-08-11T14:12:01.0,2014-08-11T20:12:00.0,2014-08-11T20:12:01.0,4223,Difluoroethane (R152 A),R-152a,2:12:00 PM,391.0,391.0,2.86,7.32,B,,,,rural,0.07,30.1,29.1,0.19,1.14,1010,6067.39,,,,0.0137904570037534,,66.05,134,08:12:00.0,1
10,08/11/2014,2014-08-11T16:13:00.0,2014-08-11T16:13:01.0,2014-08-11T22:13:00.0,2014-08-11T22:13:01.0,4223,Methane,CH4,4:13:00 PM,1751.0,1751.0,2.81,7.32,B,,,,rural,0.07,31.4,30.4,0.19,2.22,1010,7997.92,,,,0.0617572639733305,,16.04,0,10:13:00.0,1
11,08/11/2014,2014-08-11T16:37:00.0,2014-08-11T16:37:01.0,2014-08-11T22:37:00.0,2014-08-11T22:37:01.0,4223,Methane,CH4,4:37:00 PM,969.0,969.0,3.24,7.32,B,,,,rural,0.07,31.6,30.6,0.19,2.22,1010,7997.92,,,,0.0341763499658237,,16.04,0,10:37:00.0,1
12,08/11/2014,2014-08-11T16:45:00.0,2014-08-11T16:45:01.0,2014-08-11T22:45:00.0,2014-08-11T22:45:01.0,4223,Methane,CH4,4:45:00 PM,1785.0,1785.0,2.24,7.32,B,,,,rural,0.07,31.2,30.2,0.19,2.22,1010,7997.92,,,,0.0629564341475699,,16.04,0,10:45:00.0,1
13,08/12/2014,2014-08-12T15:52:44.0,2014-08-12T15:55:05.0,2014-08-12T21:52:44.0,2014-08-12T21:55:05.0,4224,Propane,C3H8,3:52:44 PM,2.837,400.01700000000005,6.94,0.38,C,,,,rural,0.07,32.6,31.6,0.019,1.67,1010,,,,,0.0100055917750475,,44.1,102,09:52:00.0,141
14,08/12/2014,2014-08-12T16:03:44.0,2014-08-12T16:04:20.0,2014-08-12T22:03:44.0,2014-08-12T22:04:20.0,4224,Methane,CH4,4:03:44 PM,44.444,1599.9840000000002,5.44,1.32,C,,,,rural,0.07,32.5,31.5,0.013,2.22,1010,,,,,0.334841963801239,,16.04,79,10:03:00.0,36
15,08/12/2014,2014-08-12T16:08:55.0,2014-08-12T16:09:18.0,2014-08-12T22:08:55.0,2014-08-12T22:09:18.0,4224,Methane,CH4,4:08:55 PM,52.174,1200.002,5.3,1.32,C,,,,rural,0.07,32.5,31.5,0.013,2.22,1010,,,,,0.393075348810157,,16.04,82,10:08:00.0,23
16,08/13/2014,2014-08-13T15:14:12.0,2014-08-13T15:14:31.0,2014-08-13T21:14:12.0,2014-08-13T21:14:31.0,4225,Ammoniac,NH3,3:14:12 PM,5.26,99.94,5.5,1.32,C,,,,rural,0.07,33.4,32.4,0.013,2.19,1010,1378.95,,,,0.0396523378185713,,17.03,87,09:14:00.0,19
17,08/13/2014,2014-08-13T15:17:15.0,2014-08-13T15:17:38.0,2014-08-13T21:17:15.0,2014-08-13T21:17:38.0,4225,Ammoniac,NH3,3:17:15 PM,0.0,0.0,4.9,1.32,B,,,,rural,0.07,33.5,32.5,0.013,2.19,1010,1378.95,,,,0.0,,17.03,91,09:17:00.0,23
18,08/13/2014,2014-08-13T15:32:06.0,2014-08-13T15:33:04.0,2014-08-13T21:32:06.0,2014-08-13T21:33:04.0,4225,Ammoniac,NH3,3:32:06 PM,8.62,499.96,4.2,1.32,B,,,,rural,0.07,33.3,32.3,0.013,2.19,1010,12065.83,,,,0.0649477947028267,,17.03,97,09:32:00.0,58
19,08/13/2014,2014-08-13T15:37:06.0,2014-08-13T15:38:04.0,2014-08-13T21:37:06.0,2014-08-13T21:38:04.0,4225,Ammoniac,NH3,3:37:06 PM,8.62,499.96,2.26,1.32,B,,,,rural,0.07,33.3,32.3,0.013,2.19,1010,12065.83,,,,0.0649477947028267,,17.03,260,09:37:00.0,58
20,08/13/2014,2014-08-13T15:40:04.0,2014-08-13T15:40:25.0,2014-08-13T21:40:04.0,2014-08-13T21:40:25.0,4225,Ammoniac,NH3,3:40:04 PM,4.76,99.96,4.82,1.32,B,,,,rural,0.07,33.5,32.5,0.013,2.19,1010,11376.35,,,,0.0358759246929879,,17.03,227,09:40:00.0,21
21,08/13/2014,2014-08-13T15:49:58.0,2014-08-13T15:50:21.0,2014-08-13T21:49:58.0,2014-08-13T21:50:21.0,4225,Ammoniac,NH3,3:49:58 PM,8.7,200.1,6.02,1.32,C,,,,rural,0.07,33.7,32.7,0.013,2.19,1010,10548.98,,,,0.0655125581350261,,17.03,301,09:49:00.0,23
22,08/13/2014,2014-08-13T15:54:19.0,2014-08-13T15:54:57.0,2014-08-13T21:54:19.0,2014-08-13T21:54:57.0,4225,Ammoniac,NH3,3:54:19 PM,7.89,299.82,2.99,1.32,B,,,,rural,0.07,33.7,32.7,0.013,2.19,1010,9859.51,,,,0.0594785067278513,,17.03,5,09:54:00.0,38
