GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;30;7/15/2014 1:44:39 PM;7/15/2014 2:51:10 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
GAS_A1;;0.88;0.50;30.00;20.00;2.00;
GAS_A2;;1.76;1.00;60.00;40.00;4.00;
RANGE;;100.00;5.00;500.00;200.00;20.00;
SERIALNO;;ARZJ0013;ARAK0001;ARZM0586;ARYM0049;ARWM0078;
PARTNO;;6810460;6810590;6810258;6809145;6809160;
CALDATE;;11/23/2008;8/5/2013;8/5/2013;6/18/2013;8/6/2013;
SENSORTYPE;;HPP-IR;HPP-IR;EC;EC;EC;
VAL;7/15/2014 1:44:39 PM;0.000;0.019;0.000;0.000;0.000;
VAL;7/15/2014 1:45:09 PM;0.000;0.019;0.000;0.000;0.000;
VAL;7/15/2014 1:45:39 PM;0.000;0.019;0.000;0.000;0.000;
EVE;7/15/2014 1:45:52 PM;Silent-Mode on(1,255)
EVE;7/15/2014 1:45:55 PM;Silent-Mode off(1,255)
EVE;7/15/2014 1:46:00 PM;Zero-calibration done(3,0)
EVE;7/15/2014 1:46:00 PM;Zero-calibration done(3,1)
EVE;7/15/2014 1:46:00 PM;Zero-calibration done(3,2)
EVE;7/15/2014 1:46:00 PM;Zero-calibration done(3,3)
EVE;7/15/2014 1:46:00 PM;Zero-calibration done(3,4)
VAL;7/15/2014 1:46:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 1:46:39 PM;0.000;0.039;0.000;0.000;0.000;
VAL;7/15/2014 1:47:09 PM;0.000;0.049;0.000;0.000;0.000;
VAL;7/15/2014 1:47:39 PM;0.000;0.039;0.000;NEG;0.000;
VAL;7/15/2014 1:48:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 1:48:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 1:49:09 PM;0.000;0.029;0.000;NEG;0.000;
VAL;7/15/2014 1:49:39 PM;0.000;0.029;0.000;NEG;0.000;
VAL;7/15/2014 1:50:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 1:50:39 PM;0.000;0.029;0.000;2.000;0.000;
VAL;7/15/2014 1:51:09 PM;0.000;0.029;0.000;77.00;0.000;
VAL;7/15/2014 1:51:39 PM;0.000;0.009;0.000;95.00;0.000;
VAL;7/15/2014 1:52:09 PM;0.000;0.000;0.000;104.0;0.000;
VAL;7/15/2014 1:52:39 PM;0.000;NEG;0.000;107.0;0.000;
EVE;7/15/2014 1:52:42 PM;Span-calibration done(3,3)
EVE;7/15/2014 1:52:43 PM;Unknown Event(1,3: 00)
VAL;7/15/2014 1:53:09 PM;0.000;0.000;0.000;108.0;0.000;
VAL;7/15/2014 1:53:39 PM;0.000;0.029;0.000;44.00;0.000;
VAL;7/15/2014 1:54:09 PM;0.000;0.029;0.000;13.00;0.000;
VAL;7/15/2014 1:54:39 PM;0.000;0.029;0.000;5.000;6.700;
VAL;7/15/2014 1:55:09 PM;0.000;0.019;0.000;NEG;8.100;
VAL;7/15/2014 1:55:39 PM;0.000;0.000;0.000;NEG;8.700;
VAL;7/15/2014 1:56:09 PM;0.000;0.000;0.000;NEG;9.100;
EVE;7/15/2014 1:56:15 PM;Span-calibration done(3,4)
EVE;7/15/2014 1:56:15 PM;Unknown Event(1,4: 00)
VAL;7/15/2014 1:56:39 PM;0.000;0.000;0.000;0.000;10.10;
VAL;7/15/2014 1:57:09 PM;0.000;0.029;0.000;0.000;1.400;
VAL;7/15/2014 1:57:39 PM;0.000;0.029;0.000;0.000;0.500;
VAL;7/15/2014 1:58:09 PM;0.000;0.029;0.000;0.000;0.300;
VAL;7/15/2014 1:58:39 PM;0.000;0.029;0.000;0.000;0.200;
VAL;7/15/2014 1:59:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 1:59:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:00:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:00:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:01:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:01:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:02:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:02:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:03:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:03:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:04:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:04:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:05:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:05:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:06:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:06:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:07:09 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:07:39 PM;0.000;0.039;0.000;0.000;0.000;
VAL;7/15/2014 2:08:09 PM;0.000;0.039;0.000;0.000;0.000;
VAL;7/15/2014 2:08:39 PM;0.000;0.029;0.000;0.000;0.000;
EVE;7/15/2014 2:08:52 PM;Zero-calibration done(3,1)
VAL;7/15/2014 2:09:09 PM;0.000;0.019;0.000;NEG;0.000;
VAL;7/15/2014 2:09:39 PM;0.000;0.009;0.000;0.000;0.000;
VAL;7/15/2014 2:10:09 PM;0.000;0.029;0.000;0.000;0.000;
EVE;7/15/2014 2:10:29 PM;Calibration-settings changed(3,1: 43 4F 32 20 00 56 6F 6C 25 20 00 00 40 9C 46 00 00 00 00)
VAL;7/15/2014 2:10:39 PM;0.000;0.029;0.000;0.000;0.000;
VAL;7/15/2014 2:11:09 PM;0.000;0.029;0.000;0.000;1.700;
VAL;7/15/2014 2:11:39 PM;0.900;1.400;56.00;29.00;11.80;
VAL;7/15/2014 2:12:09 PM;1.900;1.599;57.00;39.00;14.90;
VAL;7/15/2014 2:12:39 PM;2.900;1.640;57.00;43.00;18.00;
EVE;7/15/2014 2:13:00 PM;Measure value out of range(3,4)
VAL;7/15/2014 2:13:09 PM;3.600;1.700;57.00;47.00;INV;
EVE;7/15/2014 2:13:38 PM;Span-calibration done(3,1)
EVE;7/15/2014 2:13:38 PM;Unknown Event(1,1: 00)
VAL;7/15/2014 2:13:39 PM;4.100;2.000;57.00;50.00;INV;
EVE;7/15/2014 2:13:50 PM;Measure Value back in range(3,4)
VAL;7/15/2014 2:14:09 PM;4.200;2.000;57.00;51.00;INV;
VAL;7/15/2014 2:14:39 PM;3.500;0.460;6.000;19.00;3.100;
VAL;7/15/2014 2:15:09 PM;1.500;0.230;0.000;9.000;1.800;
VAL;7/15/2014 2:15:39 PM;0.700;0.140;0.000;6.000;1.200;
VAL;7/15/2014 2:16:09 PM;0.500;0.090;0.000;6.000;1.100;
VAL;7/15/2014 2:16:39 PM;0.400;0.710;34.00;15.00;16.20;
VAL;7/15/2014 2:17:09 PM;43.00;0.790;18.00;16.00;7.700;
VAL;7/15/2014 2:17:39 PM;46.00;0.029;0.000;6.000;1.700;
EVE;7/15/2014 2:18:01 PM;Span-calibration done(3,0)
EVE;7/15/2014 2:18:01 PM;Unknown Event(1,0: 00)
VAL;7/15/2014 2:18:09 PM;50.00;0.019;0.000;4.000;1.300;
VAL;7/15/2014 2:18:39 PM;50.00;0.019;0.000;8.000;1.100;
VAL;7/15/2014 2:19:09 PM;17.50;0.029;93.00;5.000;0.900;
VAL;7/15/2014 2:19:39 PM;6.500;0.019;103.0;0.000;0.900;
VAL;7/15/2014 2:20:09 PM;1.700;0.000;103.0;0.000;0.800;
VAL;7/15/2014 2:20:39 PM;0.800;NEG;104.0;0.000;0.800;
EVE;7/15/2014 2:20:46 PM;Span-calibration done(3,2)
EVE;7/15/2014 2:20:46 PM;Unknown Event(1,2: 00)
VAL;7/15/2014 2:21:09 PM;0.500;NEG;104.0;2.000;0.700;
