GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/20/2014 11:13:50 AM;8/20/2014 12:55:41 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
GAS_A1;;1000.00;20.00;20.00;25.00;19.00;
GAS_A2;;2000.00;40.00;40.00;50.00;23.00;
RANGE;;2000.00;100.00;200.00;50.00;25.00;
SERIALNO;;ARAN0034;AREJ0114;ARAJ0029;ARAF0016;ARXM0304;
PARTNO;;8319100;6810460;6809145;6809125;6809130;
CALDATE;;7/15/2014;7/15/2014;7/15/2014;7/15/2014;8/20/2014;
SENSORTYPE;;HPP-PID;HPP-IR;EC;EC;EC;
VAL;8/20/2014 11:13:50 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:51 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:52 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:53 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:54 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:55 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:56 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:57 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:58 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:13:59 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:00 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:01 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:02 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:03 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:04 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:05 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:14:06 AM;NEG;0.000;0.000;0.000;20.90;
