GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/12/2014 5:20:16 PM;8/12/2014 7:02:50 PM;X-am 7000;ARYD0215;1;DLD;2.02W
GASTYPE;;ch4;CO2;SO2;CO;NH3;
UNITNAME;;%LIE;Vol%;ppm;ppm;ppm;
GAS_A1;;20.00;0.50;2.00;200.00;20.00;
GAS_A2;;40.00;1.00;4.00;300.00;40.00;
RANGE;;100.00;5.00;20.00;500.00;200.00;
SERIALNO;;ARZH0131;ARAK0028;ARXM0026;ARAB0057;ARYM0051;
PARTNO;;6810460;6810590;6809160;6810365;6809145;
CALDATE;;7/15/2014;7/15/2014;7/15/2014;7/15/2014;7/15/2014;
SENSORTYPE;;HPP-IR;HPP-IR;EC;EC;EC;
VAL;8/12/2014 5:20:16 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:17 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:18 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:19 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:20 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:21 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:22 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:23 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:24 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:25 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:26 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:27 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:28 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:29 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:30 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:31 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:32 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:33 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:34 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:35 PM;0.000;0.090;0.000;0.000;0.000;
VAL;8/12/2014 5:20:36 PM;0.000;0.079;0.000;0.000;0.000;
VAL;8/12/2014 5:20:37 PM;0.000;0.079;0.000;0.000;0.000;
VAL;8/12/2014 5:20:38 PM;0.000;0.079;0.000;0.000;0.000;
VAL;8/12/2014 5:20:39 PM;0.000;0.079;0.000;0.000;0.000;
VAL;8/12/2014 5:20:40 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:41 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:42 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:43 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:44 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:45 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:46 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:47 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:48 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:49 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:50 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:51 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:52 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:53 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:54 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:55 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:56 PM;0.000;0.070;0.000;0.000;0.000;
VAL;8/12/2014 5:20:57 PM;0.000;0.070;0.000;0.000;0.000;
